col_1,create_age(months),expiry_age(months),update_age(days),URL,Label
642,-1,-1,-1,http://account-google-com.ngate.my/c44cca401760e0c1e12587f9b833f8e5...,1
2968,212,16,663,http://www.coffeespecialties.com/...,0
2401,-1,-1,-1,http://black.pk/wp-content/2013/04/bp.postale/96306090ce26bb6aae928b9a...,1
5337,198,6,186,http://atomicsoda.com/manutd...,0
6538,240,24,1684,http://bostoncoffeecake.com/...,0
2813,-1,-1,-1,http://www.durst.de/...,0
5311,98,10,57,http://www.jobofmine.com/...,0
5304,2,10,61,http://safetem.com/fcid/login.php?cmd=login_submit&id=46775597b693a54e...,1
1252,21,3,280,http://elicafe.com/...,1
4109,-1,-1,-1,http://www.vgl.ucdavis.edu/informatics/strand.php...,0
5878,48,72,1412,http://wellcomelibrary.org/...,0
6149,164,40,60,http://www.topusajobs.com/...,0
5412,185,7,174,http://www.mymothersdelicacies.com/...,0
1087,6,6,127,http://iw4510.freehostgate.net/MaPe8-DoXV4/2016/f78382f3060f02b5acc285...,1
3595,-1,-1,-1,http://www.audi.co.nz/...,0
2272,88,8,134,http://www.marlinaquarindo.com/Amazon/ap/login/login.php...,1
33,-1,-1,-1,http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...,1
5363,181,47,455,http://www.dreamlandbbq.com/...,0
3387,12,12,10,http://www.cncsaz.com/documents/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw...,1
3637,208,8,140,http://www.barrelsandbottles.co.uk/...,0
951,24,36,740,http://everydayhomecarellc.com/public/images/abonne/194497a1fd6be8408a...,1
5744,206,58,965,http://www.redcafe.net/...,0
4035,7,5,203,http://tabtimeline.com/Canada_MD/009/car.php...,1
3298,-1,-1,-1,http://www.cecm.sfu.ca/~loki/Papers/Numbers/...,0
260,4,8,128,http://www.cincybabiesmatter.com/wp-admin/aa/pin.htm...,1
5584,-1,9,-1,http://guj-epd.gov.in/...,0
4378,199,5,6070,http://www.sugarboo.com/...,0
1909,136,32,43,http://www.mancitynews.com/...,0
5896,34,2,264,http://www.dessertcafeonline.com/...,0
2211,128,4,250,http://www.thinkingblocks.com/ThinkingBlocks_MD/TB_MD_Main.html...,0
5873,-1,-1,-1,http://www.kasp.pp.ua/corex/Logon.htm...,1
3881,140,16,14,http://tallahasseespeechcenter.com/wp-content/uploads/2012/usaa/...,1
836,123,9,98,http://www.oldfootballshirts.com/en/teams/l/leicester/old-leicester-football-shirts-t33.html...,0
354,149,7,1956,http://www.educationforallinindia.com/...,0
800,158,10,58,http://www.capecoralscreen.com/...,1
4889,193,59,591,http://www.theteahaus.com/...,0
1371,12,12,8,http://www.rfacbe.com/ggg/...,1
3489,5,7,143,http://sinsona.com/WhatsApp...,1
5268,-1,-1,-1,http://db.uwaterloo.ca/~alopez-o/math-faq/node21.html...,0
4671,-1,-1,-1,http://eperfumes.ca/...,0
810,8,16,239,http://stuffatweb.com/sign_in_surveys/ii.php?email=...,1
3807,-1,-1,-1,http://www.pcengines.ch/tp3.htm...,0
3502,5,7,62,http://top10filmy.com/index/233c2d9b5768b4676472c4fe0a18cc3d/9f18d5940...,1
1404,-1,-1,-1,http://www.utsc.utoronto.ca/~binnick/old%20tense/BIBLIO.html...,0
5627,24,12,4,http://rhemagh.com/includes/dhl2.html...,1
2337,233,19,1259,http://www.isbodyjewelry.com/...,0
5599,-1,-1,-1,http://58.192.78.230:8081/itunes...,1
3404,152,4,237,http://www.hungamatv.com/...,0
4223,181,11,460,http://www.coalcreekcoffee.com/...,0
3063,6,6,127,http://iw4510.freehostgate.net/MaPe8-DoXV4/2016/92e48f81213c567df82434...,1
687,-1,-1,-1,http://964014-de-prob-sicher-account.sicherheitssystem-sicherheitshilf...,1
3679,46,2,127,http://realpropertyinc.net/bowix/drive/drive/auth/view/share/...,1
2415,-1,-1,-1,http://decvidros.com.br/images/casts1/...,1
6203,153,2,348,http://www.etherpunk.com/...,0
2741,7,5,214,http://pratiquesaude.com/wp-includes/customize/spacebox/...,1
